,sceneDateString,platform,dt,nFrames
0,2014-10-12,Sentinel-1A,0,1
1,2014-10-24,Sentinel-1A,12,3
2,2014-11-17,Sentinel-1A,24,3
3,2014-11-29,Sentinel-1A,12,2
4,2014-12-11,Sentinel-1A,12,3
5,2014-12-23,Sentinel-1A,12,2
6,2015-01-04,Sentinel-1A,12,3
7,2015-01-16,Sentinel-1A,12,2
8,2015-01-28,Sentinel-1A,12,3
9,2015-02-09,Sentinel-1A,12,2
10,2015-02-21,Sentinel-1A,12,3
11,2015-03-05,Sentinel-1A,12,2
12,2015-03-17,Sentinel-1A,12,3
13,2015-03-29,Sentinel-1A,12,3
14,2015-04-10,Sentinel-1A,12,3
15,2015-04-22,Sentinel-1A,12,4
16,2015-05-04,Sentinel-1A,12,3
17,2015-05-16,Sentinel-1A,12,3
18,2015-05-28,Sentinel-1A,12,3
19,2015-06-09,Sentinel-1A,12,3
20,2015-06-21,Sentinel-1A,12,3
21,2015-07-03,Sentinel-1A,12,3
22,2015-07-15,Sentinel-1A,12,3
23,2015-07-27,Sentinel-1A,12,3
24,2015-08-08,Sentinel-1A,12,3
25,2015-08-20,Sentinel-1A,12,2
26,2015-09-01,Sentinel-1A,12,3
27,2015-09-13,Sentinel-1A,12,2
28,2015-09-25,Sentinel-1A,12,3
29,2015-10-07,Sentinel-1A,12,2
30,2015-10-19,Sentinel-1A,12,4
31,2015-10-31,Sentinel-1A,12,2
32,2015-11-12,Sentinel-1A,12,3
33,2015-11-24,Sentinel-1A,12,2
34,2015-12-06,Sentinel-1A,12,3
35,2015-12-18,Sentinel-1A,12,3
36,2015-12-30,Sentinel-1A,12,3
37,2016-01-11,Sentinel-1A,12,2
38,2016-01-23,Sentinel-1A,12,3
39,2016-02-04,Sentinel-1A,12,2
40,2016-02-16,Sentinel-1A,12,3
41,2016-02-28,Sentinel-1A,12,2
42,2016-03-11,Sentinel-1A,12,3
43,2016-03-23,Sentinel-1A,12,2
44,2016-04-04,Sentinel-1A,12,3
45,2016-04-16,Sentinel-1A,12,2
46,2016-04-28,Sentinel-1A,12,3
47,2016-05-10,Sentinel-1A,12,2
48,2016-06-03,Sentinel-1A,24,2
49,2016-06-15,Sentinel-1A,12,3
50,2016-07-09,Sentinel-1A,24,3
51,2016-07-21,Sentinel-1A,12,2
52,2016-08-02,Sentinel-1A,12,3
53,2016-08-14,Sentinel-1A,12,2
54,2016-08-26,Sentinel-1A,12,3
55,2016-09-07,Sentinel-1A,12,2
56,2016-09-19,Sentinel-1A,12,3
57,2016-10-01,Sentinel-1A,12,3
58,2016-10-19,Sentinel-1B,18,3
59,2016-10-25,Sentinel-1A,6,3
60,2016-10-31,Sentinel-1B,6,3
61,2016-11-12,Sentinel-1B,12,3
62,2016-11-18,Sentinel-1A,6,3
63,2016-11-24,Sentinel-1B,6,3
64,2016-12-06,Sentinel-1B,12,3
65,2016-12-12,Sentinel-1A,6,3
66,2016-12-18,Sentinel-1B,6,3
67,2016-12-30,Sentinel-1B,12,3
68,2017-01-05,Sentinel-1A,6,3
69,2017-01-11,Sentinel-1B,6,3
70,2017-01-23,Sentinel-1B,12,3
71,2017-01-29,Sentinel-1A,6,3
72,2017-02-04,Sentinel-1B,6,3
73,2017-02-10,Sentinel-1A,6,3
74,2017-02-16,Sentinel-1B,6,3
75,2017-02-22,Sentinel-1A,6,3
76,2017-02-28,Sentinel-1B,6,3
77,2017-03-06,Sentinel-1A,6,3
78,2017-03-12,Sentinel-1B,6,3
79,2017-03-18,Sentinel-1A,6,3
80,2017-03-24,Sentinel-1B,6,3
81,2017-03-30,Sentinel-1A,6,3
82,2017-04-05,Sentinel-1B,6,3
83,2017-04-11,Sentinel-1A,6,3
84,2017-04-17,Sentinel-1B,6,3
85,2017-04-23,Sentinel-1A,6,3
86,2017-04-29,Sentinel-1B,6,3
87,2017-05-05,Sentinel-1A,6,3
88,2017-05-11,Sentinel-1B,6,3
89,2017-05-17,Sentinel-1A,6,3
90,2017-05-23,Sentinel-1B,6,3
91,2017-05-29,Sentinel-1A,6,3
92,2017-06-04,Sentinel-1B,6,3
93,2017-06-10,Sentinel-1A,6,3
94,2017-06-16,Sentinel-1B,6,3
95,2017-06-22,Sentinel-1A,6,3
96,2017-06-28,Sentinel-1B,6,3
97,2017-07-04,Sentinel-1A,6,3
98,2017-07-10,Sentinel-1B,6,3
99,2017-07-16,Sentinel-1A,6,3
100,2017-07-22,Sentinel-1B,6,3
101,2017-07-28,Sentinel-1A,6,1
102,2017-08-03,Sentinel-1B,6,3
103,2017-08-09,Sentinel-1A,6,1
104,2017-08-15,Sentinel-1B,6,3
105,2017-08-21,Sentinel-1A,6,1
106,2017-08-27,Sentinel-1B,6,3
107,2017-09-02,Sentinel-1A,6,1
108,2017-09-08,Sentinel-1B,6,3
109,2017-09-14,Sentinel-1A,6,1
110,2017-09-20,Sentinel-1B,6,3
111,2017-09-26,Sentinel-1A,6,1
112,2017-10-02,Sentinel-1B,6,3
113,2017-10-08,Sentinel-1A,6,1
114,2017-10-14,Sentinel-1B,6,3
