site,lat,lon,height,start,end
KASM,-10.1716,31.2248,1365.5639999999999,2013-03-04,2017-04-04
LCNG,-13.3013,35.2436,1360.224,2013-07-21,2015-04-14
LLNG,-13.947,33.7895,1109.244,2009-01-20,2013-02-10
MBEY,-8.9118,33.4592,1700.526,2013-02-22,2017-07-31
MOCU,-16.8686,36.8351,225.537,2011-09-01,2013-12-14
MZUZ,-11.4251,34.0059,1261.203,2010-08-25,2017-04-07
NMPL,-15.1228,39.2579,417.816,2010-06-08,2015-02-11
TANZ,-6.7656,39.2079,70.482,2006-08-14,2014-01-07
TETE,-16.1472,33.5764,149.239,2011-09-01,2015-03-30
TUKC,-9.3316,33.7516,892.561,2008-10-15,2014-01-09
ZOMB,-15.3758,35.3251,972.632,2010-08-22,2016-11-20
